k_all	ksat_all	RCm	RCbeta	soilD_all	error
16.37013	0.00849	1.86531	2.37036	1.32788	26.64926
17.87452	0.00157	1.06137	3.61273	0.86284	16.29807
15.0717	0.00456	0.60752	2.45663	0.99772	20.85031
14.88523	0.00393	1.04127	0.97127	1.45428	27.5402
5.70456	0.00383	1.89506	3.83569	0.9113	20.21903
6.5303	0.00634	1.60813	1.29932	1.48946	26.00525
16.19068	0.00419	0.92808	0.8422	1.3692	27.75679
13.99472	0.00661	0.33915	0.40734	1.43133	30.06619
15.53412	0.00559	1.26619	4.90442	0.57526	16.25491
10.84763	0.00169	0.9439	0.44818	0.51819	19.78186
19.67277	0.00956	1.74334	4.38124	1.0716	25.3773
11.11768	0.0019	0.52566	0.32584	1.18714	24.15205
16.36475	0.00581	0.859	4.97395	0.6805	17.39239
10.43317	0.00386	1.77645	0.12347	1.23402	17.68659
7.61499	0.00301	1.77143	2.14284	0.67908	19.73159
11.8752	0.00877	0.71954	4.05799	0.95857	22.11684
5.55817	0.00296	0.75673	3.79089	0.7453	14.81829
16.2317	0.00429	0.30756	2.85649	1.07821	20.04578
17.0295	0.00763	1.98917	1.8996	0.90427	23.27089
8.91948	0.00243	1.63028	4.65946	1.43493	23.34964
9.01644	0.00252	0.69893	1.72944	0.58414	15.2056
5.28143	0.00708	1.34958	4.1694	0.55829	15.92962
14.15117	0.0018	1.85648	4.80982	0.74087	16.6113
11.87925	0.00884	0.98643	4.82122	0.67746	19.592
17.04572	0.00952	1.86806	4.89482	1.24933	26.32737
17.25003	0.00479	1.43065	2.77352	0.84647	21.47871
11.08067	0.00998	0.45487	4.71791	1.45502	27.7383
6.37655	0.00859	1.56491	4.84638	1.26075	26.09262
14.31315	0.00407	1.14778	3.09654	1.40758	25.74252
14.00896	0.00495	0.3898	2.46396	0.75747	17.13495
18.86785	0.00687	1.67569	1.40205	0.80435	23.12741
16.21959	0.00447	0.60291	1.80994	0.87663	20.37296
19.59164	0.00887	1.78649	1.67357	1.23001	26.17903
13.28981	0.00233	1.02001	1.33828	0.96202	21.6929
13.88173	0.00109	1.73437	2.16294	0.64658	19.05819
11.84319	0.00863	1.21321	1.23017	1.23198	27.27289
13.23504	0.00918	0.75971	0.85251	1.00863	26.78703
6.9276	0.00231	0.82706	3.23776	0.75468	14.96776
17.39787	0.00242	0.28961	0.6995	1.19021	21.40986
17.23256	0.00275	1.77314	2.34023	0.7976	21.0303
5.08767	0.0021	1.34593	1.6194	0.93455	22.30784
19.94943	0.00349	0.27206	4.24371	0.85466	16.09431
14.30643	0.00729	0.76598	0.43112	1.07184	26.71994
19.58437	0.00539	0.83139	1.20069	1.35103	29.47123
6.69882	0.00933	1.61158	0.87002	0.67678	19.93088
14.35674	0.00667	0.94756	1.44295	0.64595	20.60066
15.81655	0.00426	0.6515	1.53158	1.37156	25.84895
16.82182	0.00475	0.36058	2.87041	0.7224	16.82554
18.87259	0.00916	1.1868	2.60181	0.70937	21.86186
17.69665	0.00693	0.41705	3.68173	1.32902	23.47965
10.88949	0.00803	1.45951	2.27247	0.94506	24.77529
12.18678	0.00568	1.54254	0.39219	1.23792	20.09469
10.9289	0.00627	1.05644	2.14276	0.76903	20.76292
14.80354	0.00502	0.32171	0.5398	0.60002	17.31179
13.61466	0.00584	0.94166	3.90701	0.91586	20.70349
15.04974	0.00752	1.06051	0.56187	1.16332	25.2411
19.36161	0.00651	1.96805	3.92512	1.34555	25.80523
6.60446	0.00335	0.37764	1.56241	1.12152	20.41629
12.46782	0.00957	1.53771	1.64018	0.82815	24.12017
15.33918	0.0024	1.91594	1.36867	0.84761	21.52098
19.31722	0.00783	0.80803	3.67428	0.78167	21.0738
6.20963	0.00715	1.57428	1.12795	0.74038	21.86672
13.71649	0.00312	1.64729	2.58604	1.41315	25.46371
13.07808	0.00812	0.37821	4.85063	0.84337	20.58998
13.36033	0.00177	1.70642	2.20651	1.49371	25.22724
15.29405	0.00937	1.27113	2.98327	0.69189	21.5881
16.70921	0.0011	0.31101	0.89727	1.45101	21.74174
5.62105	0.00629	1.25695	0.4448	0.50102	18.96041
16.21959	0.0046	1.00595	2.53837	1.32336	25.42925
18.69568	0.00658	0.69251	4.51194	1.38326	24.86581
19.87173	0.00284	0.67717	0.30303	1.43781	27.17443
6.99913	0.00408	1.33681	0.24481	0.5695	18.29376
13.32389	0.00851	0.7019	0.13846	1.31753	25.11331
18.64199	0.00846	0.95273	4.20753	1.10871	23.58516
7.83314	0.00311	1.82019	4.82026	0.84859	18.39809
10.48328	0.00606	0.99401	4.84971	0.90498	20.16539
11.41743	0.00758	1.06345	1.97065	1.11547	26.02651
8.55491	0.00931	1.10155	1.51449	1.03826	27.09723
12.59333	0.00856	1.18351	2.00235	0.90696	24.16415
11.44311	0.0041	0.26898	0.25797	0.9742	20.80416
7.33268	0.00753	1.90839	4.21395	0.62554	19.12779
11.49634	0.00675	0.95903	3.57804	0.92872	21.30971
19.60294	0.00312	0.25046	1.4162	1.10987	20.00961
7.95057	0.00207	1.12726	3.88586	1.37541	21.10772
9.91521	0.0052	0.78667	2.96893	0.81376	19.00222
11.80843	0.00989	1.87359	4.8827	0.61326	20.56203
12.28164	0.00815	0.84834	4.15577	0.63295	18.04411
9.64506	0.00192	1.68102	0.80341	0.99738	21.60744
11.89042	0.00843	1.01188	0.33295	0.85893	22.77897
17.50137	0.0033	1.55159	3.7357	0.93479	20.81642
5.82068	0.0099	0.86378	4.21051	0.66944	19.4868
13.55016	0.00999	1.82708	2.75051	0.86497	23.80305
16.44806	0.00651	0.54651	2.69625	1.18291	22.71586
8.19571	0.00109	1.51062	1.7952	0.78359	20.48396
17.47733	0.00877	1.03751	3.36994	0.65787	20.51117
18.78037	0.00224	1.92849	4.35896	1.07256	20.82036
19.57809	0.0034	1.72284	2.80479	0.57434	18.59647
12.84316	0.00821	1.69575	0.24127	1.29093	17.66471
15.38954	0.00322	1.69706	1.59031	1.45768	25.6783
11.2957	0.00986	1.83174	3.72844	1.21396	26.24405
13.0732	0.00201	0.70452	4.85725	0.59034	14.33184
15.67379	0.00957	0.38138	1.45362	1.45888	30.48374
17.04843	0.0068	0.46942	1.91913	0.82238	20.92466
15.38183	0.00471	1.78148	3.37593	1.01817	22.74016
18.24253	0.00409	1.50083	1.24923	0.66619	21.86959
10.56526	0.00427	1.72617	0.87598	1.29046	23.23199
9.8275	0.00299	0.84865	4.90119	1.34529	21.21943
